product_code,name,category,subcategory,section_name,description,abv,vegan,organic,producer,country,is_active
spirit_grappa_amorosa_di_settembre_poli,Grappa Amorosa di Settembre,spirit,liqueur,Spirits,TBD,40,,,Poli,Italy,TRUE
spirit_bepi_tosolini_express_premium_espresso_coffee_liqueur_bepi_tosolini,Bepi Tosolini Express Premium Espresso Coffee Liqueur,spirit,liqueur,Spirits,TBD,28,,,Bepi Tosolini,Italy,TRUE
item,,,,,,,,,,,
spirit_janneau_vsop_armagnac_janneau,Janneau VSOP Armagnac,spirit,brandy,Spirits,TBD,40,,,Janneau,France,TRUE
spirit_courvoisier_vsop_fine_cognac_courvoisier,Courvoisier VSOP Fine Cognac,spirit,brandy,Spirits,TBD,40,,,Courvoisier,France,TRUE
item,,,,,,,,,,,
beer_peroni_nastro_azzurro_non_alcoholic_peroni,Peroni Nastro Azzurro (non-alcoholic),beer,lager,Beers,"Alcohol-free Italian lager with the same crisp, clean and refreshing character as the original",0,TRUE,FALSE,Birra Peroni,Italy,TRUE
beer_the_small_beer_session_pale_ale_the_small_beer,Small Beer Session Pale Ale,beer,pale ale,Beers,"Low-alcohol session pale with toasted malt, lemon citrus and spicy hops, finishing dry and bitter",2.5,TRUE,FALSE,Small Beer Brew Co,England,TRUE
beer_peroni_better_peroni_peroni,Peroni Nastro Azzuro,beer,lager,Beers,"Premium Italian lager with an intensely crisp, clean and refreshing character",5.1,TRUE,FALSE,Birra Peroni,Italy,TRUE
beer_menabrea_menabrea,Menabrea Bionda,beer,lager,Beers,"Pale Italian lager, well balanced between citrus and bitter tones with floral, fruity undertones and a refined, crisp finish",4.8,TRUE,FALSE,Birra Menabrea,Italy,TRUE
beer_birra_moretti_birra_moretti,Birra Moretti,beer,lager,Beers,"Classic Italian premium lager with a finely bitter, balanced taste, floral notes and aromas of barley malt",4.6,TRUE,FALSE,Birra Moretti,Italy,TRUE
item,,,,,,,,,,,
soft_indian_tonic_water_fever_tree,Indian Tonic Water,soft,fever_tree,Soft drinks,TBD,,,,Fever-Tree,,TRUE
soft_light_tonic_fever_tree,Light Tonic,soft,fever_tree,Soft drinks,TBD,,,,Fever-Tree,,TRUE
soft_lemon_tonic_fever_tree,Lemon Tonic,soft,fever_tree,Soft drinks,TBD,,,,Fever-Tree,,TRUE
soft_rhubarb_and_raspberry_tonic_fever_tree,Rhubarb and Raspberry Tonic,soft,fever_tree,Soft drinks,TBD,,,,Fever-Tree,,TRUE
soft_elderflower_tonic_fever_tree,Elderflower Tonic,soft,fever_tree,Soft drinks,TBD,,,,Fever-Tree,,TRUE
soft_premium_lemonade_fever_tree,Premium Lemonade,soft,fever_tree,Soft drinks,TBD,,,,Fever-Tree,,TRUE
soft_ginger_beer_fever_tree,Ginger Beer,soft,fever_tree,Soft drinks,TBD,,,,Fever-Tree,,TRUE
soft_italian_blood_orange_soda_fever_tree,Italian Blood Orange Soda,soft,fever_tree,Soft drinks,TBD,,,,Fever-Tree,,TRUE
soft_white_grape_and_apricot_soda_fever_tree,White Grape and Apricot Soda,soft,fever_tree,Soft drinks,TBD,,,,Fever-Tree,,TRUE
soft_pink_grapefruit_soda_fever_tree,Pink Grapefruit Soda,soft,fever_tree,Soft drinks,TBD,,,,Fever-Tree,,TRUE
soft_cloudy_british_apple_with_a_hint_of_mint_fever_tree,Cloudy British Apple with a Hint of Mint,soft,fever_tree,Soft drinks,TBD,,,,Fever-Tree,,TRUE
item,,,,,,,,,,,
soft_limonata_san_pellegrino,Limonata,soft,san_pellegrino,Soft drinks,TBD,,,,San Pellegrino,,TRUE
soft_aranciata_san_pellegrino,Aranciata,soft,san_pellegrino,Soft drinks,TBD,,,,San Pellegrino,,TRUE
soft_aranciata_rossa_san_pellegrino,Aranciata Rossa,soft,san_pellegrino,Soft drinks,TBD,,,,San Pellegrino,,TRUE
item,,,,,,,,,,,
soft_coca_cola,Coca-cola,soft,classic,Soft drinks,TBD,,,,,,TRUE
soft_diet_coke,Diet Coke,soft,classic,Soft drinks,TBD,,,,,,TRUE
item,,,,,,,,,,,
juice_apple,Apple,soft,juice,Fruit juice,TBD,,,,,,TRUE
juice_cranberry,Cranberry,soft,juice,Fruit juice,TBD,,,,,,TRUE
juice_grapefruit,Grapefruit,soft,juice,Fruit juice,TBD,,,,,,TRUE
juice_tomato,Tomato,soft,juice,Fruit juice,TBD,,,,,,TRUE
juice_orange,Orange,soft,juice,Fruit juice,TBD,,,,,,TRUE
item,,,,,,,,,,,
soft_harrogate_mineral_water_still,Harrogate Mineral Water Still,soft,water,Water,TBD,,,,,,TRUE
soft_harrogate_mineral_water_sparkling,Harrogate Mineral Water Sparkling,soft,water,Water,TBD,,,,,,TRUE
item,,,,,,,,,,,
hot_espresso,Espresso,hot,coffee,Hot drinks,,,,,,,TRUE
hot_espresso_macchiato,Espresso macchiato,hot,coffee,Hot drinks,,,,,,,TRUE
hot_double_espresso,Double espresso,hot,coffee,Hot drinks,,,,,,,TRUE
hot_double_macchiato,Double macchiato,hot,coffee,Hot drinks,,,,,,,TRUE
hot_cappuccino,Cappuccino,hot,coffee,Hot drinks,,,,,,,TRUE
hot_latte,Latte,hot,coffee,Hot drinks,,,,,,,TRUE
hot_flat_white,Flat white,hot,coffee,Hot drinks,,,,,,,TRUE
hot_americano,Americano,hot,coffee,Hot drinks,,,,,,,TRUE
hot_bicerin,Bicerin,hot,coffee,Hot drinks,,,,,,,TRUE
hot_tea_and_infusions,Tea and infusions,hot,tea,Hot drinks,"English Breakfast, Earl Grey Imperial, Rooibos African Nights, Green Tea, Peppermint Moroccan Secret, Fresh Mint",,,,,,TRUE
